"Neighborhood","Latitude","Longitude","Distance to Nearest"
"Amager Vest","55.619371","12.5755841","5364.8454726595055"
"Amager Øst","55.6615367","12.6264875","3372.5479469451457"
"Bispebjerg","55.7109502","12.5340004","1812.3054972120067"
"Brønshøj-Husum","55.704536","12.5014454","2167.519937679136"
"Indre By","55.6808894","12.5852531099972","2698.8542185712845"
"Nørrebro","55.6958939","12.5449561","1812.3054972121008"
"Valby","55.6618019","12.5169523","2056.828337680726"
"Vanløse","55.6856249","12.4888093","2250.439742876113"
"Vesterbro/Kongens Enghave","55.6652568","12.5495727","1776.50412566579"
"Østerbro","55.7050841","12.5826141","2579.3544077846814"
"Frederiksberg","55.678016","12.5326186","1776.5041256659279"
