"Neighborhood","City","Accessories Store","Advertising Agency","Antique Shop","Aquarium","Art Gallery","Art Museum","Arts & Crafts Store","Arts & Entertainment","Athletics & Sports","Auditorium","BBQ Joint","Bagel Shop","Bakery","Bar","Basketball Court","Beach","Bed & Breakfast","Beer Bar","Beer Garden","Beer Store","Bike Rental / Bike Share","Bike Shop","Bistro","Boat or Ferry","Bookstore","Botanical Garden","Boutique","Bowling Alley","Boxing Gym","Brasserie","Breakfast Spot","Brewery","Bubble Tea Shop","Building","Burger Joint","Bus Line","Bus Station","Bus Stop","Business Service","Butcher","Café","Canal","Candy Store","Capitol Building","Castle","Cemetery","Cheese Shop","Chocolate Shop","Church","Circus","Climbing Gym","Clothing Store","Cocktail Bar","Coffee Shop","Comedy Club","Comic Shop","Community Center","Concert Hall","Convenience Store","Cosmetics Shop","Creperie","Cultural Center","Cupcake Shop","Dance Studio","Deli / Bodega","Department Store","Dessert Shop","Diner","Discount Store","Dive Bar","Donut Shop","Electronics Store","Event Space","Exhibit","Fabric Shop","Farm","Farmers Market","Fish & Chips Shop","Fish Market","Flea Market","Flower Shop","Food & Drink Shop","Food Court","Food Truck","Football Stadium","Forest","Fountain","Fried Chicken Joint","Fruit & Vegetable Store","Furniture / Home Store","Gaming Cafe","Garden","Garden Center","Gastropub","Gay Bar","General College & University","General Entertainment","Gift Shop","Golf Course","Gourmet Shop","Grocery Store","Gun Range","Gym","Gym / Fitness Center","Gym Pool","Harbor / Marina","Historic Site","History Museum","Hobby Shop","Hookah Bar","Hostel","Hot Dog Joint","Hotel","Hotel Bar","Ice Cream Shop","Indie Movie Theater","Indoor Play Area","Insurance Office","Irish Pub","Jazz Club","Jewelry Store","Juice Bar","Lake","Laundromat","Library","Lighthouse","Liquor Store","Locality","Lounge","Lyonese Bouchon","Market","Martial Arts Dojo","Memorial Site","Men's Store","Metro Station","Miscellaneous Shop","Monument / Landmark","Motel","Movie Theater","Moving Target","Multiplex","Museum","Music Store","Music Venue","National Park","Nature Preserve","Nightclub","Noodle House","Nursery School","Office","Optical Shop","Organic Grocery","Other Great Outdoors","Outdoor Gym","Outdoor Sculpture","Outlet Store","Palace","Paper / Office Supplies Store","Park","Pastry Shop","Pedestrian Plaza","Performing Arts Venue","Perfume Shop","Pharmacy","Pier","Pizza Place","Planetarium","Platform","Playground","Plaza","Pool","Pool Hall","Pub","Racecourse","Radio Station","Rafting","Record Shop","Recreation Center","Residential Building (Apartment / Condo)","Resort","Restaurant","Rock Club","Salad Place","Salon / Barbershop","Sandwich Place","Scenic Lookout","Science Museum","Sculpture Garden","Shoe Store","Shop & Service","Shopping Mall","Shopping Plaza","Skate Park","Smoke Shop","Snack Place","Soccer Field","Soccer Stadium","Souvlaki Shop","Spa","Speakeasy","Sporting Goods Shop","Sports Bar","Sports Club","Stadium","Steakhouse","Supermarket","Surf Spot","Taco Place","Tailor Shop","Tea Room","Tech Startup","Tennis Court","Tennis Stadium","Theater","Theme Park Ride / Attraction","Toy / Game Store","Track","Trail","Train Station","Tram Station","Vineyard","Water Park","Wine Bar","Wine Shop","Women's Store","Yoga Studio","Zoo"
"Amager Vest","Copenhagen","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.017241379310344827","0.017241379310344827","0.017241379310344827","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.017241379310344827","0.017241379310344827","0.0","0.017241379310344827","0.0","0.0","0.0","0.0","0.017241379310344827","0.0","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.034482758620689655","0.0","0.0","0.0","0.0","0.017241379310344827","0.0","0.0","0.0","0.0","0.0","0.0","0.017241379310344827","0.0","0.0","0.017241379310344827","0.0","0.0","0.0","0.017241379310344827","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.017241379310344827","0.0","0.0","0.0","0.017241379310344827","0.017241379310344827","0.0","0.0","0.0","0.017241379310344827","0.0","0.0","0.017241379310344827","0.0","0.0","0.0","0.0","0.0","0.034482758620689655","0.0","0.034482758620689655","0.017241379310344827","0.0","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.017241379310344827","0.0","0.06896551724137931","0.017241379310344827","0.017241379310344827","0.0","0.017241379310344827","0.0","0.0","0.0","0.0","0.017241379310344827","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.017241379310344827","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.017241379310344827","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.05172413793103448","0.0","0.0","0.0","0.0","0.0","0.0","0.05172413793103448","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1206896551724138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.017241379310344827","0.0","0.017241379310344827","0.0","0.0","0.0","0.017241379310344827","0.0","0.017241379310344827","0.05172413793103448","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Amager Øst","Copenhagen","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.061855670103092786","0.010309278350515464","0.0","0.07216494845360824","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.05154639175257732","0.0","0.0","0.0","0.0","0.0","0.061855670103092786","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.061855670103092786","0.010309278350515464","0.0","0.0","0.010309278350515464","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.030927835051546393","0.0","0.010309278350515464","0.05154639175257732","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.010309278350515464","0.0","0.0","0.020618556701030927","0.0","0.0","0.0","0.0","0.0","0.0","0.05154639175257732","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.010309278350515464","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.15463917525773196","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.020618556701030927","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.020618556701030927","0.0","0.0","0.020618556701030927","0.010309278350515464","0.0","0.0","0.0","0.0","0.010309278350515464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.010309278350515464","0.0"
"Batignolles-Monceau","Paris","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.05","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.01","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.02","0.03","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.01","0.0"
"Bispebjerg","Copenhagen","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02631578947368421","0.0","0.0","0.0","0.0","0.02631578947368421","0.0","0.0","0.0","0.0","0.02631578947368421","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02631578947368421","0.0","0.0","0.0","0.0","0.0","0.07894736842105263","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02631578947368421","0.0","0.0","0.0","0.0","0.05263157894736842","0.0","0.0","0.0","0.0","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02631578947368421","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07894736842105263","0.0","0.02631578947368421","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.02631578947368421","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02631578947368421","0.0","0.0","0.0","0.0","0.0","0.0","0.13157894736842105","0.0","0.0","0.0","0.02631578947368421","0.0","0.0","0.02631578947368421","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.18421052631578946","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02631578947368421","0.0","0.0","0.0","0.05263157894736842","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bourse","Paris","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.03","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.05","0.0","0.0","0.0","0.01","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.01","0.0","0.0","0.0","0.01","0.0","0.0","0.02","0.0","0.01","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.03","0.01","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.01","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.01","0.0","0.01","0.0","0.0","0.02","0.0","0.0","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.39","0.0","0.03","0.0","0.01","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.01","0.01","0.0","0.0"
"Brønshøj-Husum","Copenhagen","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.041666666666666664","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.041666666666666664","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.0","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Buttes-Chaumont","Paris","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07142857142857142","0.0","0.0","0.023809523809523808","0.023809523809523808","0.023809523809523808","0.011904761904761904","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.023809523809523808","0.0","0.011904761904761904","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.047619047619047616","0.023809523809523808","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.011904761904761904","0.011904761904761904","0.0","0.0","0.0","0.023809523809523808","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.023809523809523808","0.0","0.0","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.011904761904761904","0.0","0.011904761904761904","0.0","0.023809523809523808","0.0","0.0","0.0","0.0","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.011904761904761904","0.0","0.03571428571428571","0.011904761904761904","0.0","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.023809523809523808","0.0","0.0","0.0","0.0","0.0","0.0","0.047619047619047616","0.0","0.0","0.0","0.011904761904761904","0.023809523809523808","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2261904761904762","0.0","0.0","0.0","0.0","0.023809523809523808","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.011904761904761904","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.011904761904761904","0.011904761904761904","0.0","0.0","0.0","0.0","0.011904761904761904","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Buttes-Montmartre","Paris","0.0","0.0","0.0","0.0","0.01","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.11","0.0","0.0","0.0","0.0","0.01","0.01","0.0","0.0","0.06","0.0","0.02","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.02","0.0","0.0","0.0","0.0","0.0","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.02","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.02","0.01","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.01","0.0","0.0","0.0","0.0","0.05","0.0","0.0","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.36","0.0","0.0","0.0","0.02","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.02","0.0","0.0","0.0","0.0"
"Entrepôt","Paris","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.06","0.0","0.01","0.0","0.0","0.0","0.01","0.0","0.03","0.0","0.0","0.0","0.02","0.0","0.0","0.0","0.0","0.0","0.03","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.04","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.42","0.0","0.01","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.03","0.0","0.0","0.0"
"Frederiksberg","Copenhagen","0.0","0.0","0.0","0.0","0.01098901098901099","0.01098901098901099","0.0","0.0","0.0","0.0","0.01098901098901099","0.01098901098901099","0.054945054945054944","0.04395604395604396","0.0","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03296703296703297","0.0","0.0","0.0","0.0","0.0","0.07692307692307693","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03296703296703297","0.0","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.0","0.0","0.0","0.02197802197802198","0.0","0.02197802197802198","0.0","0.0","0.0","0.0","0.01098901098901099","0.0","0.03296703296703297","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03296703296703297","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.0","0.01098901098901099","0.0","0.01098901098901099","0.0","0.0","0.01098901098901099","0.01098901098901099","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.01098901098901099","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.054945054945054944","0.0","0.0","0.0","0.0","0.0","0.0","0.03296703296703297","0.0","0.0","0.0","0.02197802197802198","0.01098901098901099","0.0","0.02197802197802198","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.23076923076923078","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01098901098901099","0.03296703296703297","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01098901098901099","0.0","0.0","0.0"
