"Neighborhood","City","Latitude","Longitude","Distance to Nearest"
"Amager Vest","Copenhagen","55.619371","12.5755841","5364.8454726595055"
"Amager Øst","Copenhagen","55.6615367","12.6264875","3372.5479469451457"
"Bispebjerg","Copenhagen","55.7109502","12.5340004","1812.3054972120067"
"Brønshøj-Husum","Copenhagen","55.704536","12.5014454","2167.519937679136"
"Indre By","Copenhagen","55.6808894","12.5852531099972","2698.8542185712845"
"Nørrebro","Copenhagen","55.6958939","12.5449561","1812.3054972121008"
"Valby","Copenhagen","55.6618019","12.5169523","2056.828337680726"
"Vanløse","Copenhagen","55.6856249","12.4888093","2250.439742876113"
"Vesterbro/Kongens Enghave","Copenhagen","55.6652568","12.5495727","1776.50412566579"
"Østerbro","Copenhagen","55.7050841","12.5826141","2579.3544077846814"
"Frederiksberg","Copenhagen","55.678016","12.5326186","1776.5041256659279"
"Bourse","Paris","48.8682792225","2.3428025468900002","788.5558908279834"
"Temple","Paris","48.86287238","2.3600009859","964.5277017667287"
"Reuilly","Paris","48.8349743815","2.4213249007799997","3495.6373081370875"
"Louvre","Paris","48.8625627018","2.3364433620500002","788.5558908279818"
"Hôtel-de-Ville","Paris","48.8543414263","2.35762962032","964.5277017667925"
"Élysée","Paris","48.872720837399996","2.3125540224","1678.6211840079447"
"Observatoire","Paris","48.8292445005","2.3265420442","2260.1221860859464"
"Buttes-Chaumont","Paris","48.8870759966","2.38482096015","2145.755629347745"
"Ménilmontant","Paris","48.8634605789","2.40118812928","1625.8237512702678"
"Luxembourg","Paris","48.8491303586","2.33289799905","1407.7267864076864"
"Opéra","Paris","48.8771635173","2.33745754348","1062.959118220821"
"Batignolles-Monceau","Paris","48.887326521999995","2.30677699057","1678.62118400817"
"Vaugirard","Paris","48.8400853759","2.29282582242","2284.873885414388"
"Panthéon","Paris","48.844443150500005","2.3507146095800002","1212.116819579935"
"Palais-Bourbon","Paris","48.8561744288","2.31218769148","1709.8705586122048"
"Entrepôt","Paris","48.876130036499994","2.36072848785","1475.3126880160783"
"Popincourt","Paris","48.8590592213","2.3800583081999998","1531.5846203517115"
"Gobelins","Paris","48.8283880317","2.36227244042","1976.786247961925"
"Passy","Paris","48.8603921054","2.2619707883599998","3198.0535793049326"
"Buttes-Montmartre","Paris","48.892569268","2.3481605195599995","1884.498860725566"
