"Neighborhood","Latitude","Longitude","Distance to Nearest"
"Bourse","48.8682792225","2.3428025468900002","788.5558908279834"
"Temple","48.86287238","2.3600009859","964.5277017667287"
"Reuilly","48.8349743815","2.4213249007799997","3495.6373081370875"
"Louvre","48.8625627018","2.3364433620500002","788.5558908279818"
"Hôtel-de-Ville","48.8543414263","2.35762962032","964.5277017667925"
"Élysée","48.872720837399996","2.3125540224","1678.6211840079447"
"Observatoire","48.8292445005","2.3265420442","2260.1221860859464"
"Buttes-Chaumont","48.8870759966","2.38482096015","2145.755629347745"
"Ménilmontant","48.8634605789","2.40118812928","1625.8237512702678"
"Luxembourg","48.8491303586","2.33289799905","1407.7267864076864"
"Opéra","48.8771635173","2.33745754348","1062.959118220821"
"Batignolles-Monceau","48.887326521999995","2.30677699057","1678.62118400817"
"Vaugirard","48.8400853759","2.29282582242","2284.873885414388"
"Panthéon","48.844443150500005","2.3507146095800002","1212.116819579935"
"Palais-Bourbon","48.8561744288","2.31218769148","1709.8705586122048"
"Entrepôt","48.876130036499994","2.36072848785","1475.3126880160783"
"Popincourt","48.8590592213","2.3800583081999998","1531.5846203517115"
"Gobelins","48.8283880317","2.36227244042","1976.786247961925"
"Passy","48.8603921054","2.2619707883599998","3198.0535793049326"
"Buttes-Montmartre","48.892569268","2.3481605195599995","1884.498860725566"
