"Neighborhood","Neighborhood Latitude","Neighborhood Longitude","Venue","Venue Latitude","Venue Longitude","Venue Category"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Ezra's Pound","43.67515283323029","-79.40585846415303","Café"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Roti Cuisine of India","43.67461834990478","-79.40824866273744","Indian Restaurant"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Bar Begonia","43.6750930219172","-79.40640565299303","French Restaurant"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Rose & Sons","43.6756684758828","-79.40361659752443","American Restaurant"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Madame Boeuf And Flea","43.67524","-79.40662","Burger Joint"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Live Organic Food Bar","43.67505287052667","-79.40671518307245","Vegetarian / Vegan Restaurant"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Big Crow","43.675896076491284","-79.40368028354095","BBQ Joint"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Jean Sibelius Square","43.67142628683921","-79.40883090368688","Park"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Magic Oven","43.6748946772507","-79.40699407078071","Pizza Place"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","The Annex Hodgepodge","43.674975198818274","-79.40654256081908","Sandwich Place"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Creeds Coffee Bar","43.67410020855885","-79.41083780404273","Coffee Shop"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Dish Cooking Studio","43.67406646467061","-79.4107635453081","Café"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Toronto Archives","43.67644734460629","-79.40750861881347","History Museum"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Pour House","43.675640867179204","-79.40382084040043","Pub"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Haute Coffee","43.675817902127925","-79.40279309076072","Café"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Aviv","43.674553","-79.409043","Jewish Restaurant"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","LCBO","43.675344431726565","-79.40532725232431","Liquor Store"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Beauty Boutique by Shoppers Drug Mart","43.67471486426238","-79.40777572566179","Cosmetics Shop"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Subway","43.674965","-79.406868","Sandwich Place"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Super Jet International Coffee Shop","43.674331761282474","-79.40932490176829","Coffee Shop"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Tim Hortons","43.67579963362535","-79.40353178302757","Coffee Shop"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Martino's Pizza","43.67555992434719","-79.40355789179394","Pizza Place"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Subway","43.67562647482443","-79.4101006611444","Sandwich Place"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Spadina Station North Entrance","43.67014790500963","-79.40558222395032","Metro Station"
"The Annex, North Midtown, Yorkville","43.6727097","-79.40567840000001","Davenport Garden Centre","43.67585107911928","-79.4018936520866","Flower Shop"
"Forest Hill North, Forest Hill West","43.6969476","-79.41130720000002","Kay Gardner Beltline Trail","43.700726252588964","-79.4101006611444","Trail"
"Forest Hill North, Forest Hill West","43.6969476","-79.41130720000002","Forest Hill Road Park","43.69794474434431","-79.4066047668457","Park"
"Forest Hill North, Forest Hill West","43.6969476","-79.41130720000002","Nikko Sushi Japenese Restaurant","43.700443369880006","-79.40795690464067","Sushi Restaurant"
"Forest Hill North, Forest Hill West","43.6969476","-79.41130720000002","Oliver jewelry","43.70037360267825","-79.4076437784668","Jewelry Store"
"Roselawn","43.7116948","-79.41693559999999","Rosalind's Garden Oasis","43.71218888050602","-79.41197784736922","Garden"
"Roselawn","43.7116948","-79.41693559999999","Menchie's St. Clair West","43.707664","-79.414301","Ice Cream Shop"
"Lawrence Park","43.7280205","-79.3887901","Lawrence Park Ravine","43.72696303913755","-79.39438246708775","Park"
"Lawrence Park","43.7280205","-79.3887901","Dim Sum Deluxe","43.72695269460939","-79.39426004519044","Dim Sum Restaurant"
"Lawrence Park","43.7280205","-79.3887901","Zodiac Swim School","43.72853205765438","-79.3828602612317","Swim School"
"Lawrence Park","43.7280205","-79.3887901","TTC Bus #162 - Lawrence-Donway","43.72802605799448","-79.38280527753858","Bus Line"
"Davisville North","43.7127511","-79.3901975","Sherwood Park","43.71655100307589","-79.38777567141624","Park"
"Davisville North","43.7127511","-79.3901975","Summerhill Market North","43.71549914910689","-79.39288125988016","Food & Drink Shop"
"Davisville North","43.7127511","-79.3901975","Homeway Restaurant & Brunch","43.71264120397444","-79.39155655199944","Breakfast Spot"
"Davisville North","43.7127511","-79.3901975","Best Western Roehampton Hotel & Suites","43.7088783","-79.3908798","Hotel"
"Davisville North","43.7127511","-79.3901975","Subway","43.708377580939676","-79.390473242753","Sandwich Place"
"Davisville North","43.7127511","-79.3901975","Hero Certified Burgers","43.708632833728444","-79.39029641345645","Burger Joint"
"Davisville North","43.7127511","-79.3901975","Sherwood Off-leash Dog Park","43.71571109700559","-79.39011782200485","Dog Run"
"Davisville North","43.7127511","-79.3901975","Provocative Pizza Series","43.708293114505096","-79.38954603484376","Pizza Place"
"North Toronto West","43.7153834","-79.40567840000001","Barreworks","43.71407030751952","-79.40010911522093","Yoga Studio"
"North Toronto West","43.7153834","-79.40567840000001","Uncle Betty's Diner","43.7144524368588","-79.40009057656115","Diner"
"North Toronto West","43.7153834","-79.40567840000001","Civello Salon","43.71511093497453","-79.40030409940266","Salon / Barbershop"
"North Toronto West","43.7153834","-79.40567840000001","Tio's Urban Mexican","43.71463","-79.4","Mexican Restaurant"
"North Toronto West","43.7153834","-79.40567840000001","Starbucks","43.71545573067855","-79.40030317600592","Coffee Shop"
"North Toronto West","43.7153834","-79.40567840000001","lululemon","43.7134754","-79.4000843","Sporting Goods Shop"
"North Toronto West","43.7153834","-79.40567840000001","Nailsense","43.71746731916717","-79.40065341489495","Spa"
"North Toronto West","43.7153834","-79.40567840000001","C'est Bon","43.71678474928588","-79.40040634837081","Chinese Restaurant"
"North Toronto West","43.7153834","-79.40567840000001","Sporting Life","43.71627717160474","-79.40024796918705","Sporting Goods Shop"
"North Toronto West","43.7153834","-79.40567840000001","Dufflet Pastries","43.71572948229811","-79.40028336157728","Dessert Shop"
"North Toronto West","43.7153834","-79.40567840000001","A&W","43.715124","-79.400017","Fast Food Restaurant"
"North Toronto West","43.7153834","-79.40567840000001","Tim Hortons","43.71489400011398","-79.39977586269379","Coffee Shop"
"North Toronto West","43.7153834","-79.40567840000001","Subway","43.71681812785994","-79.40013572643659","Sandwich Place"
"North Toronto West","43.7153834","-79.40567840000001","Gap","43.71544977487359","-79.40008916661074","Clothing Store"
"North Toronto West","43.7153834","-79.40567840000001","St. Clements - Yonge Parkette","43.71206179547874","-79.40425523454469","Park"
"North Toronto West","43.7153834","-79.40567840000001","Roots","43.716193862387414","-79.40066099166876","Clothing Store"
"North Toronto West","43.7153834","-79.40567840000001","Drake General Store","43.714712809782114","-79.40015650911188","Gift Shop"
"North Toronto West","43.7153834","-79.40567840000001","Gap","43.714009","-79.399959","Clothing Store"
"North Toronto West","43.7153834","-79.40567840000001","Anytime Fitness","43.71765439","-79.40043421","Gym / Fitness Center"
"North Toronto West","43.7153834","-79.40567840000001","Budget Car & Truck Rental","43.718479","-79.401165","Rental Car Location"
"Davisville","43.7043244","-79.3887901","Jules Cafe Patisserie","43.70413799694304","-79.38841260442167","Dessert Shop"
"Davisville","43.7043244","-79.3887901","Thobors Boulangerie Patisserie Café","43.704513877453266","-79.38861602551758","Café"
"Davisville","43.7043244","-79.3887901","XO Gelato","43.70517671239303","-79.3887930388649","Dessert Shop"
"Davisville","43.7043244","-79.3887901","Marigold Indian Bistro","43.702880859375","-79.38800811767578","Indian Restaurant"
"Davisville","43.7043244","-79.3887901","Viva Napoli","43.70575225315343","-79.38912464296774","Pizza Place"
"Davisville","43.7043244","-79.3887901","Florentia Ristorante","43.703594","-79.3879846","Italian Restaurant"
"Davisville","43.7043244","-79.3887901","June Rowlands Park","43.70051698238234","-79.38918866607341","Park"
"Davisville","43.7043244","-79.3887901","Zee Grill","43.70498511291793","-79.38847622354874","Seafood Restaurant"
"Davisville","43.7043244","-79.3887901","Bread and Butter","43.70158248227423","-79.3873587869354","Sandwich Place"
"Davisville","43.7043244","-79.3887901","Starbucks","43.70608372289573","-79.38935494537283","Coffee Shop"
"Davisville","43.7043244","-79.3887901","Positano","43.704558","-79.38863854","Italian Restaurant"
"Davisville","43.7043244","-79.3887901","Mastermind Toys","43.704839243420075","-79.38854629838522","Toy / Game Store"
"Davisville","43.7043244","-79.3887901","Smoked & Cracked","43.70190375366434","-79.38761622708451","Seafood Restaurant"
"Davisville","43.7043244","-79.3887901","Sakae Sushi","43.70494407149989","-79.38870408604551","Sushi Restaurant"
"Davisville","43.7043244","-79.3887901","Thai Spicy House","43.7019616162845","-79.3875129672506","Thai Restaurant"
"Davisville","43.7043244","-79.3887901","Flaky Tart","43.70653850357435","-79.38961139953942","Dessert Shop"
"Davisville","43.7043244","-79.3887901","Granite Brewery","43.70799119535042","-79.38994275728216","Brewery"
"Davisville","43.7043244","-79.3887901","Hokkaido Sushi","43.708081718364554","-79.38999467246003","Sushi Restaurant"
"Davisville","43.7043244","-79.3887901","Crossfit Metric","43.70747956557104","-79.38985687683696","Gym"
"Davisville","43.7043244","-79.3887901","Hazel's Diner","43.70210267511542","-79.3876176468172","Diner"
"Davisville","43.7043244","-79.3887901","Starving Artist","43.701538","-79.38724","Restaurant"
"Davisville","43.7043244","-79.3887901","Apple Tree Farmer's Market","43.70032613903132","-79.38976045544334","Farmers Market"
"Davisville","43.7043244","-79.3887901","Second Cup","43.704344001380505","-79.38865888961692","Coffee Shop"
"Davisville","43.7043244","-79.3887901","Marcheleo's Gourmet Marketplace","43.70804065392919","-79.39219480282117","Gourmet Shop"
"Davisville","43.7043244","-79.3887901","souvlaki express","43.70737794652891","-79.38984793934696","Greek Restaurant"
"Davisville","43.7043244","-79.3887901","Subway","43.70174172309233","-79.38759973282761","Sandwich Place"
"Davisville","43.7043244","-79.3887901","Meow Cat Cafe","43.702927","-79.38819","Café"
"Davisville","43.7043244","-79.3887901","Pizza Pizza","43.70613821755869","-79.38929246805056","Pizza Place"
"Davisville","43.7043244","-79.3887901","Shoppers Drug Mart","43.70770180100904","-79.38985224627127","Pharmacy"
"Davisville","43.7043244","-79.3887901","Rosedale Kennedy Flowers","43.704291008015225","-79.38873233163676","Flower Shop"
"Davisville","43.7043244","-79.3887901","Glebe Manor Lawn Bowling Club","43.70464242045723","-79.38786149024963","Bowling Alley"
"Davisville","43.7043244","-79.3887901","Subway","43.708377580939676","-79.390473242753","Sandwich Place"
"Davisville","43.7043244","-79.3887901","Hero Certified Burgers","43.708632833728444","-79.39029641345645","Burger Joint"
"Davisville","43.7043244","-79.3887901","Kidnasium","43.706938885972804","-79.3895295409309","Indoor Play Area"
"Davisville","43.7043244","-79.3887901","Pizzaiolo","43.70730077620926","-79.38982962163259","Pizza Place"
"Davisville","43.7043244","-79.3887901","Oisie sushi","43.7083013094919","-79.38842444207054","Japanese Restaurant"
"Davisville","43.7043244","-79.3887901","Joanne's Deli","43.708226788801085","-79.39107445800583","Deli / Bodega"
"Davisville","43.7043244","-79.3887901","Imbiss Restaurant","43.70844884848459","-79.39027380979057","Restaurant"
"Moore Park, Summerhill East","43.6895743","-79.38315990000002","Loring-Wyle Parkette","43.690270427217385","-79.3834375880377","Park"
"Moore Park, Summerhill East","43.6895743","-79.38315990000002","Reds","43.6928156790476","-79.38450425856912","Restaurant"
"Moore Park, Summerhill East","43.6895743","-79.38315990000002","Moore Park Tennis Club","43.693408258143876","-79.3828602612317","Tennis Court"
"Moore Park, Summerhill East","43.6895743","-79.38315990000002","Moorevale Park","43.693609879336925","-79.38346507970056","Playground"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","LCBO","43.686990631074885","-79.39923810519545","Convenience Store"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","The Market By Longo’s","43.686711","-79.399536","Supermarket"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Starbucks","43.687100712578356","-79.39861193331016","Coffee Shop"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Daeco Sushi","43.68783769992881","-79.39565249242683","Sushi Restaurant"
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West","43.68641229999999","-79.4000493","Union Social Eatery","43.68789522205706","-79.39491559605742","American Restaurant"
