"Neighborhood","City","Neighborhood Latitude","Neighborhood Longitude","Venue","Venue Latitude","Venue Longitude","Venue Category"
"Amager Vest","København","55.619371","12.5755841","Naturcenter Amager","55.61462025739141","12.574853246094653","Park"
"Amager Vest","København","55.619371","12.5755841","8tallet","55.61835333920717","12.571841139175977","Building"
"Amager Vest","København","55.619371","12.5755841","Royal Arena","55.6254690915426","12.57388435339868","Event Space"
"Amager Vest","København","55.619371","12.5755841","Royal Bar","55.625246","12.573738","Bar"
"Amager Vest","København","55.619371","12.5755841","Crowne Plaza Copenhagen Towers","55.62694","12.57774","Hotel"
"Amager Vest","København","55.619371","12.5755841","Nordisk Film Biografer - Field's","55.62942133865708","12.579234700469376","Multiplex"
"Amager Vest","København","55.619371","12.5755841","Irma","55.63183960256403","12.574654799190139","Supermarket"
"Amager Vest","København","55.619371","12.5755841","Byparken","55.63397992412536","12.577285766601562","Park"
"Amager Vest","København","55.619371","12.5755841","Københavns Flugtskytte Klub","55.629683588209176","12.557441611884055","Sports Club"
"Amager Vest","København","55.619371","12.5755841","Fitness dk","55.630143596493774","12.578373490378993","Gym / Fitness Center"
"Amager Vest","København","55.619371","12.5755841","STORM Restaurant","55.62685184043494","12.57684792034416","Scandinavian Restaurant"
"Amager Vest","København","55.619371","12.5755841","AC Hotel Bella Sky Copenhagen","55.6396159","12.5780976","Hotel"
"Amager Vest","København","55.619371","12.5755841","Café 8Tallet","55.61649466047983","12.570631512309163","Café"
"Amager Vest","København","55.619371","12.5755841","Rambla Bar & Grill","55.631374012514954","12.575135644943732","Tapas Restaurant"
"Amager Vest","København","55.619371","12.5755841","Accenture","55.63177076420872","12.578749462583005","Business Service"
"Amager Vest","København","55.619371","12.5755841","Københavns Skyttecenter","55.635283615212856","12.55380938475046","Gun Range"
"Amager Vest","København","55.619371","12.5755841","Bella Sky Fitness Center","55.63925816408301","12.57791054475863","Gym / Fitness Center"
"Amager Vest","København","55.619371","12.5755841","Gorm's Pizza","55.62930124018891","12.57861077785492","Pizza Place"
"Amager Vest","København","55.619371","12.5755841","Bryg Selv","55.61722823255616","12.61227232152965","Brewery"
"Amager Vest","København","55.619371","12.5755841","Royal Golf Center","55.63906166196415","12.574521544505588","Golf Course"
"Amager Vest","København","55.619371","12.5755841","Bella Sky Comwell Aqua Spa","55.63920270138336","12.578410581752987","Spa"
"Amager Vest","København","55.619371","12.5755841","Rajissimo","55.63317","12.588014","Ice Cream Shop"
"Amager Vest","København","55.619371","12.5755841","Starbucks","55.63092984654202","12.57655150752173","Coffee Shop"
"Amager Vest","København","55.619371","12.5755841","French Chicken","55.61952715178277","12.585875981306447","Fast Food Restaurant"
"Amager Vest","København","55.619371","12.5755841","Espresso House","55.630005476454606","12.57788089964736","Coffee Shop"
